startTime:2020/12/14 8:54:21
toolVersion:1.0.7611.31201
PASS:28,FAIL:0,Total:252
Time:00:11:36
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60,-38.67,CP,NR_5MHZ,SCS15,CP_Inner_Full:13@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.67,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-38.67,CP,NR_5MHZ,SCS15,CP_Inner_Full:13@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.54;1.71,0,17.5,%,PASS
NR,n1,384500,-60,-38.90,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.90,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-38.90,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.56;1.62,0,17.5,%,PASS
NR,n1,384500,-60,-38.81,CP,NR_5MHZ,SCS15,CP_Inner_Full:13@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.81,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-38.81,CP,NR_5MHZ,SCS15,CP_Inner_Full:13@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.49;1.75,0,12.5,%,PASS
NR,n1,384500,-60,-39.14,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-39.14,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-39.14,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.79;1.93,0,12.5,%,PASS
NR,n1,384500,-60,-39.06,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-39.06,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-39.06,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.65;1.72,0,8,%,PASS
NR,n1,384500,-60,-29.05,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-29.05,-30,-26.6,dBm,PASS
NR,n1,384500,-60,-29.05,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.14;1.55,0,3.5,%,PASS
