startTime:2020/12/14 11:00:09
toolVersion:1.0.7611.31201
PASS:28,FAIL:0,Total:84
Time:00:05:50
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,386000,-60,-38.77,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.87;2.83,0,17.5,%,PASS
NR,n1,386000,-60,-38.96,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.96,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.96,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.32;2.43,0,12.5,%,PASS
NR,n1,386000,-60,-38.75,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.75,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.75,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.71;2.75,0,12.5,%,PASS
NR,n1,386000,-60,-38.80,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.80,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.80,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.68;2.64,0,8,%,PASS
NR,n1,386000,-60,-28.87,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-28.87,-30,-26.6,dBm,PASS
NR,n1,386000,-60,-28.87,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.75;2.66,0,3.5,%,PASS
NR,n1,386000,-60,-38.55,CP,NR_20MHZ,SCS15,CP_Inner_Full:53@26,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.55,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.55,CP,NR_20MHZ,SCS15,CP_Inner_Full:53@26,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.06;2.17,0,17.5,%,PASS
NR,n1,386000,-60,-38.47,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.47,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.47,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.57;2.59,0,17.5,%,PASS
NR,n1,386000,-60,-38.59,CP,NR_20MHZ,SCS15,CP_Inner_Full:53@26,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.59,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.59,CP,NR_20MHZ,SCS15,CP_Inner_Full:53@26,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.21;2.24,0,12.5,%,PASS
NR,n1,386000,-60,-38.55,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.55,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.55,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.62;2.74,0,12.5,%,PASS
NR,n1,386000,-60,-38.52,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.52,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.52,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.59;2.63,0,8,%,PASS
NR,n1,386000,-60,-28.48,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-28.48,-30,-26.6,dBm,PASS
NR,n1,386000,-60,-28.48,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.13;4.22,0,3.5,%,PASS
